사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Dec-22,1호선,150,서울역,1350791,1316828,196523,187268
Dec-22,1호선,151,시청,672846,665583,96623,93198
Dec-22,1호선,152,종각,975925,949944,150911,141309
Dec-22,1호선,153,종로3가,490967,450017,309071,287432
Dec-22,1호선,154,종로5가,476315,470710,247835,238588
Dec-22,1호선,155,동대문,230076,215833,120749,118870
Dec-22,1호선,156,신설동,288269,277560,114634,110172
Dec-22,1호선,157,제기동,238529,228924,257360,275606
Dec-22,1호선,158,청량리(서울시립대입구),344620,342766,242950,245420
Dec-22,1호선,159,동묘앞,134207,141805,137351,139883
Dec-22,2호선,201,시청,682510,621289,59541,53179
Dec-22,2호선,202,을지로입구,1330792,1341875,112244,104953
Dec-22,2호선,203,을지로3가,621414,628833,79716,78685
Dec-22,2호선,204,을지로4가,320903,332254,81514,80919
Dec-22,2호선,205,동대문역사문화공원(DDP),366417,423937,55918,60290
Dec-22,2호선,206,신당,332054,348748,93097,94894
Dec-22,2호선,207,상왕십리,356131,341958,66127,66925
Dec-22,2호선,208,왕십리(성동구청),449999,395033,54082,48003
Dec-22,2호선,209,한양대,289301,312576,12947,13359
Dec-22,2호선,210,뚝섬,597454,634402,57918,58987
Dec-22,2호선,211,성수,1044298,1143228,103377,105147
Dec-22,2호선,212,건대입구,1023669,1111010,91783,96190
Dec-22,2호선,213,구의(광진구청),601937,585737,106468,108012
Dec-22,2호선,214,강변(동서울터미널),854068,812629,117193,113352
Dec-22,2호선,215,잠실나루,327289,315719,84304,83835
Dec-22,2호선,216,잠실(송파구청),2324994,2300137,209443,202048
Dec-22,2호선,217,잠실새내,568345,575021,111484,110932
Dec-22,2호선,218,종합운동장,237836,264044,45775,48050
Dec-22,2호선,219,삼성(무역센터),1571585,1567517,125851,117547
Dec-22,2호선,220,선릉,1347796,1194994,217436,191085
Dec-22,2호선,221,역삼,1270522,1433326,148559,150647
Dec-22,2호선,222,강남,2180108,2132128,161741,141600
Dec-22,2호선,223,교대(법원.검찰청),790257,901562,161653,185006
Dec-22,2호선,224,서초,563758,529512,89047,88859
Dec-22,2호선,225,방배,422651,442444,77447,76907
Dec-22,2호선,226,사당,1004403,1127177,220333,210956
Dec-22,2호선,227,낙성대(강감찬),713852,680990,105472,106161
Dec-22,2호선,228,서울대입구(관악구청),1218573,1187072,177735,168087
Dec-22,2호선,229,봉천,558240,509492,145843,146220
Dec-22,2호선,230,신림,1527219,1462466,199789,199351
Dec-22,2호선,231,신대방,628165,600006,117247,119295
Dec-22,2호선,232,구로디지털단지,1500017,1486929,183955,184930
Dec-22,2호선,233,대림(구로구청),583244,594328,122079,126469
Dec-22,2호선,234,신도림,1288593,1290333,208230,197474
Dec-22,2호선,235,문래,537382,556517,85416,85111
Dec-22,2호선,236,영등포구청,523017,544118,100071,99621
Dec-22,2호선,237,당산,471375,550240,57810,64517
Dec-22,2호선,238,합정,915426,1001708,69851,70166
Dec-22,2호선,239,홍대입구,1991835,2144397,96580,93179
Dec-22,2호선,240,신촌,1011047,1029403,122588,121253
Dec-22,2호선,241,이대,413354,442045,46942,48334
Dec-22,2호선,242,아현,249199,234336,62751,61968
Dec-22,2호선,243,충정로(경기대입구),239767,256610,47936,48133
Dec-22,2호선,244,용답,70233,70121,16416,16604
Dec-22,2호선,245,신답,39776,43821,9299,9988
Dec-22,2호선,246,신설동,81964,79659,31308,33264
Dec-22,2호선,247,도림천,30406,32267,7715,8586
Dec-22,2호선,248,양천구청,153159,160315,48900,49516
Dec-22,2호선,249,신정네거리,236094,242976,70273,72182
Dec-22,2호선,250,용두(동대문구청),48754,47654,22697,23466
Dec-22,3호선,309,지축,145759,141219,28681,27735
Dec-22,3호선,310,구파발,504350,496353,116746,112308
Dec-22,3호선,311,연신내,806051,760648,247242,239239
Dec-22,3호선,312,불광,341170,365589,135931,149374
Dec-22,3호선,313,녹번,377800,334052,76141,75034
Dec-22,3호선,314,홍제,383523,363367,138450,137167
Dec-22,3호선,315,무악재,90087,88543,30343,32158
Dec-22,3호선,316,독립문,147966,152515,63228,62749
Dec-22,3호선,317,경복궁(정부서울청사),601916,607742,87134,86138
Dec-22,3호선,318,안국,657238,677908,98485,102785
Dec-22,3호선,319,종로3가,233214,289235,59191,67249
Dec-22,3호선,320,을지로3가,273362,270878,52494,49315
Dec-22,3호선,321,충무로,47,0,2,0
Dec-22,3호선,322,동대입구,245707,269638,35700,39367
Dec-22,3호선,323,약수,306068,297724,81560,76632
Dec-22,3호선,324,금호,181402,166741,52281,51490
Dec-22,3호선,325,옥수,203819,210967,57963,57886
Dec-22,3호선,326,압구정,844024,922977,138187,136991
Dec-22,3호선,327,신사,807381,846687,71896,70545
Dec-22,3호선,328,잠원,112225,108060,30332,28915
Dec-22,3호선,329,고속터미널,1325069,1288433,199687,189131
Dec-22,3호선,330,교대(법원.검찰청),346770,225090,77061,45497
Dec-22,3호선,331,남부터미널(예술의전당),755231,770242,123276,124006
Dec-22,3호선,332,양재(서초구청),925619,1008641,154547,155063
Dec-22,3호선,333,매봉,287857,279978,64843,60815
